generation,r_best
0,0.0
1,50.0
2,50.0
3,348.0
4,385.0
5,418.0
6,418.0
7,418.0
8,418.0
9,418.0
10,418.0
11,418.0
12,524.0
13,600.0
14,600.0
15,600.0
16,600.0
17,600.0
18,620.0
19,620.0
20,620.0
21,620.0
22,674.0
23,674.0
24,674.0
25,707.0
26,707.0
27,707.0
28,707.0
29,707.0
30,707.0
31,707.0
32,707.0
33,707.0
34,707.0
35,707.0
36,707.0
37,707.0
38,707.0
39,707.0
40,707.0
41,707.0
42,707.0
43,707.0
44,707.0
45,808.0
46,808.0
47,808.0
48,808.0
49,808.0
50,808.0
51,808.0
52,808.0
53,808.0
54,808.0
55,808.0
56,808.0
57,808.0
58,808.0
59,808.0
60,808.0
61,808.0
62,808.0
63,808.0
64,808.0
65,808.0
66,836.0
67,836.0
68,836.0
69,836.0
70,932.0
71,932.0
72,932.0
73,932.0
74,932.0
75,932.0
76,932.0
77,943.0
78,958.0
79,958.0
80,958.0
81,958.0
82,958.0
83,958.0
84,958.0
85,958.0
86,958.0
87,958.0
88,958.0
89,958.0
89,1000.0
